,feature,importance,normalized_importance,cumulative_importance
0,CLIENTE_ANTIGUEDAD,1902.0000000000002,0.15949685534591196,0.15949685534591196
1,meses_activo,1597.9999999999998,0.13400419287211737,0.29350104821802936
2,CLIENTE_SUCURSAL,1414.0000000000002,0.11857442348008387,0.4120754716981132
3,MRENTABILIDAD_ANNUAL,828.9999999999999,0.06951781970649894,0.48159329140461216
4,CLIENTE_EDAD,758.9999999999999,0.06364779874213836,0.5452410901467505
5,VISA_FECHAALTA,385.0,0.03228511530398323,0.5775262054507337
6,MARKETING_ACTIVO_ULTIMOS90DIAS,253.00000000000006,0.021215932914046127,0.5987421383647799
7,MCOMISIONES_OTRAS,249.00000000000003,0.02088050314465409,0.6196226415094339
8,CLIENTE_VIP,235.99999999999997,0.019790356394129977,0.6394129979035639
9,TCUENTAS_1,230.0,0.01928721174004193,0.6587002096436058
10,MACTIVOS_MARGEN,226.99999999999994,0.0190356394129979,0.6777358490566037
11,MRENTABILIDAD,226.99999999999994,0.0190356394129979,0.6967714884696016
12,TCAJA_AHORRO,215.99999999999997,0.01811320754716981,0.7148846960167714
13,VISA_FULTIMO_CIERRE,215.0,0.018029350104821804,0.7329140461215932
14,MASTER_FULTIMO_CIERRE,201.99999999999997,0.016939203354297692,0.7498532494758908
15,MTTARJETA_VISA_DEBITOS_AUTOMATIC,195.0,0.016352201257861635,0.7662054507337525
16,VISA_MFINANCIACION_LIMITE,190.99999999999997,0.0160167714884696,0.782222222222222
17,TTARJETA_DEBITO,169.00000000000003,0.01417190775681342,0.7963941299790355
18,VISA_MLIMITECOMPRA,144.00000000000003,0.01207547169811321,0.8084696016771487
19,VISA_MPAGOSPESOS,97.00000000000001,0.008134171907756815,0.8166037735849054
20,VISA_FVENCIMIENTO,95.99999999999999,0.008050314465408805,0.8246540880503143
21,MASTER_MFINANCIACION_LIMITE,95.99999999999999,0.008050314465408805,0.8327044025157231
22,MASTER_MLIMITECOMPRA,92.00000000000001,0.007714884696016773,0.8404192872117399
23,VISA_MARCA_ATRASO,90.99999999999999,0.007631027253668762,0.8480503144654086
24,TCAJAS_OTRAS,87.99999999999999,0.007379454926624737,0.8554297693920333
25,MPASIVOS_MARGEN,85.0,0.007127882599580713,0.862557651991614
26,TCUENTAS_1,82.99999999999999,0.006960167714884695,0.8695178197064988
27,MCUENTAS_SALDO,80.99999999999999,0.006792452830188678,0.8763102725366875
28,MPLAZO_FIJO_DOLARES,80.0,0.0067085953878406705,0.8830188679245281
29,MASTER_FECHAALTA,69.0,0.0057861635220125785,0.8888050314465407
30,MCOMISIONES,63.99999999999999,0.005366876310272536,0.8941719077568132
31,VISA_MSALDOTOTAL,62.000000000000014,0.005199161425576521,0.8993710691823897
